nodes
Hauptbahnhof
Reichenbachstr.
Nürnberger Platz
Südvorstadt
Münchner Platz
Nöthnitzer Str.
Regensburger Str.
Helmholtzstr.
Mommsenstr.
Stadtgutstr.
Räcknitzhöhe
Zellescher Weg
Slub
TU Dresden
edges
Hauptbahnhof, Reichenbachstr., Tram_8
Hauptbahnhof, Reichenbachstr., Tram_3
Hauptbahnhof, Reichenbachstr., Bus_66
Reichenbachstr., Hauptbahnhof, Tram_8
Reichenbachstr., Hauptbahnhof, Tram_3
Reichenbachstr., Hauptbahnhof, Bus_66
Reichenbachstr., Nürnberger Platz, Tram_8
Reichenbachstr., Nürnberger Platz, Tram_3
Nürnberger Platz, Reichenbachstr., Tram_8
Nürnberger Platz, Reichenbachstr., Tram_3
Nürnberger Platz, Südvorstadt, Tram_8
Südvorstadt, Nürnberger Platz, Tram_8
Nürnberger Platz, Münchner Platz, Tram_3
Münchner Platz, Nürnberger Platz, Tram_3
Münchner Platz, Nöthnitzer Str., Tram_3
Nöthnitzer Str., Münchner Platz, Tram_3
Nöthnitzer Str., Regensburger Str., Bus_85
Regensburger Str., Nöthnitzer Str., Bus_85
Regensburger Str., Helmholtzstr., Bus_85
Helmholtzstr., Regensburger Str., Bus_85
Helmholtzstr., Stadtgutstr., Bus_85
Stadtgutstr., Helmholtzstr., Bus_85
Stadtgutstr., Räcknitzhöhe, Bus_85
Räcknitzhöhe, Stadtgutstr., Bus_85
Räcknitzhöhe, Zellescher Weg, Tram_11
Zellescher Weg, Räcknitzhöhe, Tram_11
Zellescher Weg, Slub, Bus_61
Slub, Zellescher Weg, Bus_61
Slub, TU Dresden, Bus_61
TU Dresden, Slub, Bus_61
TU Dresden, Nürnberger Platz, Bus_61
Nürnberger Platz, TU Dresden, Bus_61
TU Dresden, Reichenbachstr., Bus_66
Reichenbachstr., TU Dresden, Bus_66
Mommsenstr., TU Dresden, Bus_66
TU Dresden, Mommsenstr., Bus_66
